aliasName,dir,lineNum,functionName,functionScope,userPoints: (positionNum; lineNum; column) instruction_content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
name,init/do_mounts.c,222,name_to_dev_t,222-313,"(0;267;7)   %add.ptr38 = getelementptr i8, i8* %name, i64 5, !dbg !10377615","(0;260;25)   %call27 = call i64 @simple_strtoul(i8* %name, i8** nonnull %p, i32 16) #98, !dbg !10377591","(0;255;8)   %call18 = call i32 (i8*, i8*, ...) @sscanf(i8* %name, i8* getelementptr inbounds ([12 x i8], [12 x i8]* @.str.4.34, i64 0, i64 0), i32* nonnull %maj, i32* nonnull %min, i32* nonnull %offset, i8* nonnull %dummy) #97, !dbg !10377582","(0;254;8)   %call16 = call i32 (i8*, i8*, ...) @sscanf(i8* %name, i8* getelementptr inbounds ([8 x i8], [8 x i8]* @.str.3, i64 0, i64 0), i32* nonnull %maj, i32* nonnull %min, i8* nonnull %dummy) #97, !dbg !10377578","(0;250;6)   %call13 = tail call i32 @strncmp(i8* %name, i8* dereferenceable(6) getelementptr inbounds ([6 x i8], [6 x i8]* @.str.2, i64 0, i64 0), i64 5) #97, !dbg !10377572","(0;239;52)   %add.ptr6 = getelementptr i8, i8* %name, i64 10, !dbg !10377564","(0;236;13)   %call3 = tail call i32 @strncmp(i8* %name, i8* dereferenceable(11) getelementptr inbounds ([11 x i8], [11 x i8]* @.str.1, i64 0, i64 0), i64 10) #97, !dbg !10377561","(0;231;8)   %add.ptr = getelementptr i8, i8* %name, i64 9, !dbg !10377434","(0;230;6)   %call = tail call i32 @strncmp(i8* %name, i8* dereferenceable(10) getelementptr inbounds ([10 x i8], [10 x i8]* @.str.30, i64 0, i64 0), i64 9) #97, !dbg !10377431",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
min,init/do_mounts.c,251,name_to_dev_t,222-313,"(0;256;10)   %19 = load i32, i32* %min, align 4, !dbg !10377585","(0;255;8)   %call18 = call i32 (i8*, i8*, ...) @sscanf(i8* %name, i8* getelementptr inbounds ([12 x i8], [12 x i8]* @.str.4.34, i64 0, i64 0), i32* nonnull %maj, i32* nonnull %min, i32* nonnull %offset, i8* nonnull %dummy) #97, !dbg !10377582","(0;254;8)   %call16 = call i32 (i8*, i8*, ...) @sscanf(i8* %name, i8* getelementptr inbounds ([8 x i8], [8 x i8]* @.str.3, i64 0, i64 0), i32* nonnull %maj, i32* nonnull %min, i8* nonnull %dummy) #97, !dbg !10377578","(0;251;3)   %16 = bitcast i32* %min to i8*, !dbg !10377575",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
name,init/do_mounts.c,222,name_to_dev_t,222-313,"(0;267;7)   %add.ptr38 = getelementptr i8, i8* %name, i64 5, !dbg !10377615","(0;260;25)   %call27 = call i64 @simple_strtoul(i8* %name, i8** nonnull %p, i32 16) #98, !dbg !10377591","(0;255;8)   %call18 = call i32 (i8*, i8*, ...) @sscanf(i8* %name, i8* getelementptr inbounds ([12 x i8], [12 x i8]* @.str.4.34, i64 0, i64 0), i32* nonnull %maj, i32* nonnull %min, i32* nonnull %offset, i8* nonnull %dummy) #97, !dbg !10377582","(0;254;8)   %call16 = call i32 (i8*, i8*, ...) @sscanf(i8* %name, i8* getelementptr inbounds ([8 x i8], [8 x i8]* @.str.3, i64 0, i64 0), i32* nonnull %maj, i32* nonnull %min, i8* nonnull %dummy) #97, !dbg !10377578","(0;250;6)   %call13 = tail call i32 @strncmp(i8* %name, i8* dereferenceable(6) getelementptr inbounds ([6 x i8], [6 x i8]* @.str.2, i64 0, i64 0), i64 5) #97, !dbg !10377572","(0;239;52)   %add.ptr6 = getelementptr i8, i8* %name, i64 10, !dbg !10377564","(0;236;13)   %call3 = tail call i32 @strncmp(i8* %name, i8* dereferenceable(11) getelementptr inbounds ([11 x i8], [11 x i8]* @.str.1, i64 0, i64 0), i64 10) #97, !dbg !10377561","(0;231;8)   %add.ptr = getelementptr i8, i8* %name, i64 9, !dbg !10377434","(0;230;6)   %call = tail call i32 @strncmp(i8* %name, i8* dereferenceable(10) getelementptr inbounds ([10 x i8], [10 x i8]* @.str.30, i64 0, i64 0), i64 9) #97, !dbg !10377431",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dummy,init/do_mounts.c,252,name_to_dev_t,222-313,"(0;265;2)   call void @llvm.lifetime.end.p0i8(i64 1, i8* nonnull %dummy) #7, !dbg !10377614","(0;255;8)   %call18 = call i32 (i8*, i8*, ...) @sscanf(i8* %name, i8* getelementptr inbounds ([12 x i8], [12 x i8]* @.str.4.34, i64 0, i64 0), i32* nonnull %maj, i32* nonnull %min, i32* nonnull %offset, i8* nonnull %dummy) #97, !dbg !10377582","(0;254;8)   %call16 = call i32 (i8*, i8*, ...) @sscanf(i8* %name, i8* getelementptr inbounds ([8 x i8], [8 x i8]* @.str.3, i64 0, i64 0), i32* nonnull %maj, i32* nonnull %min, i8* nonnull %dummy) #97, !dbg !10377578","(0;252;3)   call void @llvm.lifetime.start.p0i8(i64 1, i8* nonnull %dummy) #7, !dbg !10377576",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
name,init/do_mounts.c,222,name_to_dev_t,222-313,"(0;267;7)   %add.ptr38 = getelementptr i8, i8* %name, i64 5, !dbg !10377615","(0;260;25)   %call27 = call i64 @simple_strtoul(i8* %name, i8** nonnull %p, i32 16) #98, !dbg !10377591","(0;255;8)   %call18 = call i32 (i8*, i8*, ...) @sscanf(i8* %name, i8* getelementptr inbounds ([12 x i8], [12 x i8]* @.str.4.34, i64 0, i64 0), i32* nonnull %maj, i32* nonnull %min, i32* nonnull %offset, i8* nonnull %dummy) #97, !dbg !10377582","(0;254;8)   %call16 = call i32 (i8*, i8*, ...) @sscanf(i8* %name, i8* getelementptr inbounds ([8 x i8], [8 x i8]* @.str.3, i64 0, i64 0), i32* nonnull %maj, i32* nonnull %min, i8* nonnull %dummy) #97, !dbg !10377578","(0;250;6)   %call13 = tail call i32 @strncmp(i8* %name, i8* dereferenceable(6) getelementptr inbounds ([6 x i8], [6 x i8]* @.str.2, i64 0, i64 0), i64 5) #97, !dbg !10377572","(0;239;52)   %add.ptr6 = getelementptr i8, i8* %name, i64 10, !dbg !10377564","(0;236;13)   %call3 = tail call i32 @strncmp(i8* %name, i8* dereferenceable(11) getelementptr inbounds ([11 x i8], [11 x i8]* @.str.1, i64 0, i64 0), i64 10) #97, !dbg !10377561","(0;231;8)   %add.ptr = getelementptr i8, i8* %name, i64 9, !dbg !10377434","(0;230;6)   %call = tail call i32 @strncmp(i8* %name, i8* dereferenceable(10) getelementptr inbounds ([10 x i8], [10 x i8]* @.str.30, i64 0, i64 0), i64 9) #97, !dbg !10377431",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
offset,init/do_mounts.c,251,name_to_dev_t,222-313,"(0;255;8)   %call18 = call i32 (i8*, i8*, ...) @sscanf(i8* %name, i8* getelementptr inbounds ([12 x i8], [12 x i8]* @.str.4.34, i64 0, i64 0), i32* nonnull %maj, i32* nonnull %min, i32* nonnull %offset, i8* nonnull %dummy) #97, !dbg !10377582","(0;251;3)   %17 = bitcast i32* %offset to i8*, !dbg !10377575",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
name,init/do_mounts.c,222,name_to_dev_t,222-313,"(0;267;7)   %add.ptr38 = getelementptr i8, i8* %name, i64 5, !dbg !10377615","(0;260;25)   %call27 = call i64 @simple_strtoul(i8* %name, i8** nonnull %p, i32 16) #98, !dbg !10377591","(0;255;8)   %call18 = call i32 (i8*, i8*, ...) @sscanf(i8* %name, i8* getelementptr inbounds ([12 x i8], [12 x i8]* @.str.4.34, i64 0, i64 0), i32* nonnull %maj, i32* nonnull %min, i32* nonnull %offset, i8* nonnull %dummy) #97, !dbg !10377582","(0;254;8)   %call16 = call i32 (i8*, i8*, ...) @sscanf(i8* %name, i8* getelementptr inbounds ([8 x i8], [8 x i8]* @.str.3, i64 0, i64 0), i32* nonnull %maj, i32* nonnull %min, i8* nonnull %dummy) #97, !dbg !10377578","(0;250;6)   %call13 = tail call i32 @strncmp(i8* %name, i8* dereferenceable(6) getelementptr inbounds ([6 x i8], [6 x i8]* @.str.2, i64 0, i64 0), i64 5) #97, !dbg !10377572","(0;239;52)   %add.ptr6 = getelementptr i8, i8* %name, i64 10, !dbg !10377564","(0;236;13)   %call3 = tail call i32 @strncmp(i8* %name, i8* dereferenceable(11) getelementptr inbounds ([11 x i8], [11 x i8]* @.str.1, i64 0, i64 0), i64 10) #97, !dbg !10377561","(0;231;8)   %add.ptr = getelementptr i8, i8* %name, i64 9, !dbg !10377434","(0;230;6)   %call = tail call i32 @strncmp(i8* %name, i8* dereferenceable(10) getelementptr inbounds ([10 x i8], [10 x i8]* @.str.30, i64 0, i64 0), i64 9) #97, !dbg !10377431",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c,init/do_mounts.c,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
slash,init/do_mounts.c,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
offset,init/do_mounts.c,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
slash,init/do_mounts.c,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p,init/do_mounts.c,408,mount_block_root,404-462,"(0;0;0)   %p.146 = phi i8* [ %add.ptr20, %for.body15 ], [ %2, %if.end ]","(0;0;0)   %p.048 = phi i8* [ %add.ptr, %for.inc.critedge ], [ %2, %retry ]","(0;417;21)   %4 = load i8, i8* %2, align 1, !dbg !10377447","(0;453;21)   %9 = load i8, i8* %2, align 1, !dbg !10377473","(0;415;2)   tail call fastcc void @get_fs_names(i8* %2) #98, !dbg !10377445",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fs_names,init/do_mounts.c,407,mount_block_root,404-462,"(0;0;0)   %p.146 = phi i8* [ %add.ptr20, %for.body15 ], [ %2, %if.end ]","(0;0;0)   %p.048 = phi i8* [ %add.ptr, %for.inc.critedge ], [ %2, %retry ]","(0;417;21)   %4 = load i8, i8* %2, align 1, !dbg !10377447","(0;453;21)   %9 = load i8, i8* %2, align 1, !dbg !10377473","(0;415;2)   tail call fastcc void @get_fs_names(i8* %2) #98, !dbg !10377445",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s,init/do_mounts.c,361,get_fs_names,359-384,"(0;0;0)   %s.145 = phi i8* [ %s.3, %for.inc ], [ %page, %if.else ]","(0;0;0)   %s.0 = phi i8* [ %page, %if.then ], [ %incdec.ptr, %while.cond.backedge ], !dbg !10377415","(0;0;0)   %s.4 = phi i8* [ %page, %if.else ], [ %s.3, %for.inc ], [ %incdec.ptr, %while.cond ], !dbg !10377415","(0;364;3)   %call = tail call i8* @strcpy(i8* %page, i8* nonnull %0) #97, !dbg !10377418","(0;370;13)   %call5 = tail call i32 @get_filesystem_list(i8* %page) #98, !dbg !10377429","(0;373;3)   %arrayidx6 = getelementptr i8, i8* %page, i64 %idxprom, !dbg !10377431","(0;374;16)   %add.ptr = getelementptr i8, i8* %page, i64 -1, !dbg !10377433",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p,init/do_mounts.c,371,get_fs_names,359-384,"(0;0;0)   %p.044 = phi i8* [ %call9, %for.inc ], [ %add.ptr, %if.else ]","(0;374;3)   %tobool7.not43 = icmp eq i8* %add.ptr, null, !dbg !10377435",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
str,init/do_mounts_md.c,54,md_setup,54-115,"(0;61;6)   %4 = load i8, i8* %str, align 1, !dbg !10377419","(0;63;6)   %incdec.ptr = getelementptr i8, i8* %str, i64 1, !dbg !10377423","(0;0;0)   store i8* %str, i8** %str.addr, align 8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
md_setup_args,init/do_mounts.c,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
minor,init/do_mounts_md.c,56,md_setup,54-115,"(0;112;29)   %21 = load i32, i32* %minor, align 4, !dbg !10377509","(0;109;3)   %18 = load i32, i32* %minor, align 4, !dbg !10377501","(0;78;90)   %11 = load i32, i32* %minor, align 4, !dbg !10377459","(0;0;0)   %7 = load i32, i32* %minor, align 4","(0;65;6)   %call = call i32 @get_option(i8** nonnull %str.addr, i32* nonnull %minor) #97, !dbg !10377426","(0;56;2)   %0 = bitcast i32* %minor to i8*, !dbg !10377418",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
md_setup_args,init/do_mounts.c,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level,init/do_mounts_md.c,56,md_setup,54-115,"(0;91;31)   %16 = load i32, i32* %level, align 4, !dbg !10377485","(0;85;7)   %13 = load i32, i32* %level, align 4, !dbg !10377470","(0;83;10)   %call33 = call i32 @get_option(i8** nonnull %str.addr, i32* nonnull %level) #97, !dbg !10377468","(0;56;2)   %1 = bitcast i32* %level to i8*, !dbg !10377418",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
md_setup_args,init/do_mounts.c,91,match_dev_by_uuid,78-92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s,init/do_mounts.c,361,get_fs_names,359-384,"(0;0;0)   %s.145 = phi i8* [ %s.3, %for.inc ], [ %page, %if.else ]","(0;0;0)   %s.0 = phi i8* [ %page, %if.then ], [ %incdec.ptr, %while.cond.backedge ], !dbg !10377415","(0;0;0)   %s.4 = phi i8* [ %page, %if.else ], [ %s.3, %for.inc ], [ %incdec.ptr, %while.cond ], !dbg !10377415","(0;364;3)   %call = tail call i8* @strcpy(i8* %page, i8* nonnull %0) #97, !dbg !10377418","(0;370;13)   %call5 = tail call i32 @get_filesystem_list(i8* %page) #98, !dbg !10377429","(0;373;3)   %arrayidx6 = getelementptr i8, i8* %page, i64 %idxprom, !dbg !10377431","(0;374;16)   %add.ptr = getelementptr i8, i8* %page, i64 -1, !dbg !10377433",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
page,init/do_mounts.c,359,get_fs_names,359-384,"(0;0;0)   %s.145 = phi i8* [ %s.3, %for.inc ], [ %page, %if.else ]","(0;0;0)   %s.0 = phi i8* [ %page, %if.then ], [ %incdec.ptr, %while.cond.backedge ], !dbg !10377415","(0;0;0)   %s.4 = phi i8* [ %page, %if.else ], [ %s.3, %for.inc ], [ %incdec.ptr, %while.cond ], !dbg !10377415","(0;364;3)   %call = tail call i8* @strcpy(i8* %page, i8* nonnull %0) #97, !dbg !10377418","(0;370;13)   %call5 = tail call i32 @get_filesystem_list(i8* %page) #98, !dbg !10377429","(0;373;3)   %arrayidx6 = getelementptr i8, i8* %page, i64 %idxprom, !dbg !10377431","(0;374;16)   %add.ptr = getelementptr i8, i8* %page, i64 -1, !dbg !10377433",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p,init/initramfs.c,92,free_hash,90-100,"(0;0;0)   %p.09 = phi %struct.hash** [ getelementptr inbounds ([32 x %struct.hash*], [32 x %struct.hash*]* @head, i64 0, i64 0), %entry ], [ %incdec.ptr, %for.inc ]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
head,init/initramfs.c,93,free_hash,90-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*p,init/initramfs.c,86,find_link,62-88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
q,init/initramfs.c,65,find_link,62-88,"(0;78;7)   %tobool17.not = icmp eq i8* %call8.i, null, !dbg !10377476","(0;80;5)   %major20 = getelementptr inbounds i8, i8* %call8.i, i64 8, !dbg !10377480","(0;81;5)   %minor21 = getelementptr inbounds i8, i8* %call8.i, i64 4, !dbg !10377482","(0;82;5)   %ino22 = bitcast i8* %call8.i to i32*, !dbg !10377484","(0;83;5)   %mode23 = getelementptr inbounds i8, i8* %call8.i, i64 12, !dbg !10377486","(0;84;12)   %name24 = getelementptr inbounds i8, i8* %call8.i, i64 24, !dbg !10377488","(0;85;5)   %next27 = getelementptr inbounds i8, i8* %call8.i, i64 16, !dbg !10377490","(0;86;5)   store i8* %call8.i, i8** %15, align 8, !dbg !10377492",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre_start,init/calibrate.c,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
start,init/calibrate.c,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
end,init/calibrate.c,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
post_start,init/calibrate.c,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre_end,init/calibrate.c,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
end,init/calibrate.c,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p,./include/linux/compiler.h,197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
res,./include/linux/compiler.c,197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
args,./arch/x86/include/asm/syscall.h,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
regs,./arch/x86/include/asm/syscall.h,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ti,./include/linux/thread_info.h,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
addr,./include/asm-generic/bitops-instrumented.h,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p,./include/linux/compiler.h,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
res,./include/linux/compiler.h,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x86_pmu,arch/x86/events/core.c,2176,set_attr_rdpmc,2146-2179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
val,arch/x86/events/core.c,2150,set_attr_rdpmc,2146-2179,"(0;2176;23)   %.pre = load i64, i64* %val, align 8, !dbg !10377452","(0;348;10)   %call.i = call i32 @kstrtoull(i8* %buf, i32 0, i64* nonnull %val) #97, !dbg !10377425","(0;2157;6)   %1 = load i64, i64* %val, align 8, !dbg !10377432","(0;2150;2)   %0 = bitcast i64* %val to i8*, !dbg !10377415",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
onln,arch/x86/events/amd/core.c,511,amd_pmu_cpu_starting,508-537,"(0;529;10)   store i8* %9, i8** %arrayidx2, align 8, !dbg !10377479",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
&cpuc,arch/x86/events/amd/core.c,511,amd_pmu_cpu_starting,508-537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
allow_tsx_force_abort,arch/x86/events/intel/core.c,4356,set_sysctl_tfa,4341-4363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
val,arch/x86/events/intel/core.c,4345,set_sysctl_tfa,4341-4363,"(0;4363;1)   call void @llvm.lifetime.end.p0i8(i64 1, i8* nonnull %val) #7, !dbg !10377436","(0;4353;6)   %0 = load i8, i8* %val, align 1, !dbg !10377421, !range !10377423","(0;4348;8)   %call = call i32 @kstrtobool(i8* %buf, i8* nonnull %val) #97, !dbg !10377416","(0;4345;2)   call void @llvm.lifetime.start.p0i8(i64 1, i8* nonnull %val) #7, !dbg !10377415",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x86_pmu,arch/x86/events/intel/core.c,4311,freeze_on_smi_store,4292-4320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
val,arch/x86/events/intel/core.c,4296,freeze_on_smi_store,4292-4320,"(0;348;10)   %call.i = call i32 @kstrtoull(i8* %buf, i32 0, i64* nonnull %val) #97, !dbg !10377426","(0;4308;36)   %3 = load i64, i64* %val, align 8, !dbg !10377440","(0;4303;6)   %1 = load i64, i64* %val, align 8, !dbg !10377433","(0;4296;2)   %0 = bitcast i64* %val to i8*, !dbg !10377416",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
src,./include/linux/bitmap.h,227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c1,arch/x86/events/intel/core.c,3018,intel_get_event_constraints,3015-3039,"(0;3030;15)   %arraydecay = getelementptr inbounds %struct.event_constraint, %struct.event_constraint* %0, i64 0, i32 0, i32 0, i64 0, !dbg !10377603","(0;3029;10)   %flags = getelementptr inbounds %struct.event_constraint, %struct.event_constraint* %0, i64 0, i32 5, !dbg !10377590","(0;3031;7)   %weight23 = getelementptr inbounds %struct.event_constraint, %struct.event_constraint* %0, i64 0, i32 3, !dbg !10377618","(0;0;0)   %c2.0 = phi %struct.event_constraint* [ %0, %if.end ], [ %retval.0.i, %__intel_get_event_constraints.exit ], !dbg !10377417","(0;3028;6)   %tobool.not = icmp eq %struct.event_constraint* %0, null, !dbg !10377588",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dst,./include/linux/bitmap.h,227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
